time,num_particles,cell_id,temperature,atm_pressure,humidity,wind_direction,wind_speed
Friday,21228.7805941673,11151,8.38716271463614,761.11707,79.556145,11.4408558190243,1.92613791223767
Monday,20996.8467847379,11151,8.40342327350529,762.2203,78.80637,11.4066325924165,1.56697967431356
Saturday,15853.8517820921,11151,9.1557519559548,761.03625,79.45045,11.6742973051289,1.55042016806723
Sunday,8882.38882978724,11151,8.41728723404255,759.6808,76.408775,12.6744680851064,2.40106382978723
Thursday,20395.8089469897,11151,9.78783881026625,762.3881,77.094864,12.276804989206,1.79515471336052
Tuesday,23682.3297135876,11151,8.15175783901181,760.94055,79.573235,10.4231030270124,1.34084430568753
Wednesday,22442.4382999876,11151,9.63216105380887,764.4339,75.86678,11.2608425500186,1.35976140176463
Friday,20922.4019384265,10605,9.07392626377803,762.44434,83.62163,10.9806157354618,1.39034587609274
Monday,20305.5398178078,10605,6.6461945342345,763.20685,80.4928,10.8942109903027,1.40464296209227
Saturday,12504.476574157,10605,9.19785138764548,761.46136,78.82662,10.6251865114891,1.56729334527007
Sunday,10630.8193489225,10605,8.96515359926639,760.4546,76.12563,11.8844566712517,2.08665749656121
Thursday,18793.1274530056,10605,9.88122288783309,760.2586,79.27391,11.6159884321421,1.79012600702334
Tuesday,17438.7827756445,10605,7.96580727738161,760.549,79.22746,12.0343755714025,1.91369537392576
Wednesday,19024.682952183,10605,9.06288981288981,761.19696,74.52807,11.219507969508,1.65453915453915
Friday,18418.4214723926,4403,11.7165644171779,760.25726,74.20491,12.3449897750511,1.93312883435583
Monday,21630.5380564263,4403,9.24564263322884,761.93677,76.32853,12.4462695924765,1.45818181818182
Saturday,15021.7972222222,4403,8.6702380952381,760.4734,80.00496,11.4335317460317,1.66428571428571
Sunday,13592.746284965,4403,8.67504370629371,764.138,81.48929,10.7427884615385,1.62762237762238
Thursday,19381.752071522,4403,10.7211077191452,759.5475,73.06215,12.1687745311819,1.97601395551679
Tuesday,25115.8836226079,4403,8.43680462839341,762.69147,78.17579,11.1550956831331,1.37672452158434
Wednesday,19077.9051197745,4403,10.5803193987788,762.02936,74.82292,11.9765147956787,2.03804603100047
Friday,16715.2723214286,10582,11.8080357142857,764.06696,80.00446,11.5818452380952,1.54315476190476
Monday,15702.5292682927,10582,19.1512195121951,763.83734,69.18536,14.1463414634146,1.62439024390244
Saturday,13701.7513711152,10582,11.5411334552102,764.90125,81.10603,13.4698354661792,1.76965265082267
Sunday,9101.71287128713,10582,11.3267326732673,765.6505,84.80198,12.7029702970297,1.05940594059406
Thursday,19125.7863818425,10582,11.8931909212283,764.15076,79.4753,11.716955941255,1.53938584779706
Tuesday,19981.1612244898,10582,7.90816326530612,760.18555,83.02653,10.1448979591837,1.32448979591837
Wednesday,14654.7224736048,10582,12.7300150829563,758.4404,75.174965,10.972850678733,1.26395173453997
Friday,15840.4269662921,2689,8.89887640449438,762.2225,82.26966,11.7640449438202,1.44943820224719
Monday,16686.609375,2689,8.28125,762.65,81.21875,10.671875,1.375
Saturday,15685.8703703704,2689,9.44444444444444,761.89813,80.703705,10.1481481481481,1.66666666666667
Sunday,10362.575,2689,8.275,758.7225,77.45,10.125,2.175
Thursday,17471.9069767442,2689,9.98837209302326,760.5337,79.75581,12.0348837209302,1.43023255813954
Tuesday,14605.2045454545,2689,8.51136363636364,761.03296,79.25,12.6477272727273,1.85227272727273
Wednesday,16505.7722772277,2689,9.25742574257426,761.6812,75.84158,10.7623762376238,1.45544554455446
Friday,17363.9860788863,6110,8.38437741686002,761.0878,79.712296,11.9404485692189,1.91415313225058
Monday,17056.7361290323,6110,8.04322580645161,762.44226,79.4071,11.3032258064516,1.48258064516129
Saturday,12324.6325115562,6110,9.18104776579353,760.86206,79.77119,11.4522342064715,1.54853620955316
Sunday,7319.20140845071,6110,8.11971830985915,759.4473,76.00141,12.9971830985915,2.4169014084507
Thursday,16797.8306772908,6110,9.04382470119522,762.3636,77.8506,12.4780876494024,1.81739707835325
Tuesday,18575.4834054834,6110,8.15367965367965,761.3713,79.89827,10.2330447330447,1.35497835497836
Wednesday,18646.3760623229,6110,9.47450424929178,764.10657,76.189095,11.28611898017,1.46671388101983
Friday,20992.5286284953,7537,9.63648468708389,761.90704,78.87883,11.5579227696405,1.76031957390146
Monday,20825.1626733922,7537,10.0239596469105,762.0678,74.95839,11.2332912988651,1.70744010088272
Saturday,19588.2203947368,7537,8.3421052631579,758.9714,82.60526,9.68092105263158,1.22368421052632
Sunday,17472.2764227642,7537,7.89972899728997,763.8404,78.756096,11.3441734417344,1.64227642276423
Thursday,23481.2346153846,7537,8.07115384615385,760.5054,81.475,10.5076923076923,1.57884615384615
Tuesday,19946.5813953488,7537,9.77845777233782,762.971,78.676865,11.0881272949816,1.54589963280294
Wednesday,23717.5746527778,7537,8.59027777777778,763.1153,77.583336,11.0034722222222,1.37152777777778
Friday,23865.4965870307,6995,11.5861774744027,761.1617,74.56933,11.622866894198,1.9686433447099
Monday,29409.8023592715,6995,8.22889072847682,763.1326,78.87169,11.2853890728477,1.59457781456954
Saturday,17985.6987951807,6995,6.49582947173309,759.4662,79.50139,8.60055607043559,2.09731232622799
Sunday,13786.3126089483,6995,9.01975595583963,763.28156,75.92272,12.1499128413713,1.89134224288204
Thursday,27442.3532398453,6995,10.2301740812379,761.4042,77.12016,12.0350580270793,1.76619922630561
Tuesday,27350.4080227866,6995,10.8915262283409,763.8299,76.20223,11.0512698789461,1.75338238784714
Wednesday,27637.5364583333,6995,12.0264945652174,763.65765,74.822235,11.5713315217391,2.05819746376812
Friday,23126.635764599,8574,9.42629516019087,762.4259,80.5931,11.2772097250625,1.55771415587367
Monday,22025.4463977676,8574,9.19459665144597,762.4619,77.63975,11.6027397260274,1.51605783866058
Saturday,18426.4051140158,8574,9.59195210380689,762.36237,80.2442,11.2694637916229,1.54641732659097
Sunday,13877.5904053552,8574,10.7194867980662,763.05457,77.33451,11.9438824841949,1.92755671253254
Thursday,21299.4123518059,8574,10.6872346291701,761.01227,76.882744,11.8586435070306,1.76647366969948
Tuesday,23816.6979781818,8574,8.23726545454545,762.0212,79.85641,11.2962909090909,1.47941818181818
